2024-12-20 15:57:39,921 [INFO]: Trainer initialized.
2024-12-20 15:57:39,921 [INFO]: Creating and splitting the dataset...
2024-12-20 15:57:39,925 [INFO]: Visualizing the dataset...
2024-12-20 15:57:40,471 [INFO]: Data preparation complete.
2024-12-20 15:57:40,471 [INFO]: Training ANN: LR=0.0001, Epochs=50, Optimizer=SGD, Layers=1...
2024-12-20 15:58:29,459 [INFO]: Training ANN: LR=0.0001, Epochs=250, Optimizer=SGD, Layers=1...
2024-12-20 15:58:29,866 [INFO]: Epoch 1/250: loss: 0.8218, accuracy: 0.5000, val_loss: 0.7861, val_accuracy: 0.5375
2024-12-20 15:59:11,015 [INFO]: Epoch 250/250: loss: 0.6064, accuracy: 0.7542, val_loss: 0.6036, val_accuracy: 0.7875
2024-12-20 15:59:12,043 [INFO]: Training ANN: LR=0.0001, Epochs=250, Optimizer=SGD, Layers=2...
2024-12-20 15:59:12,473 [INFO]: Epoch 1/250: loss: 0.7374, accuracy: 0.5000, val_loss: 0.7564, val_accuracy: 0.4625
2024-12-20 15:59:54,321 [INFO]: Epoch 250/250: loss: 0.6759, accuracy: 0.7417, val_loss: 0.6752, val_accuracy: 0.7875
2024-12-20 15:59:55,390 [INFO]: Training ANN: LR=0.0001, Epochs=250, Optimizer=SGD, Layers=3...
2024-12-20 15:59:55,845 [INFO]: Epoch 1/250: loss: 0.6967, accuracy: 0.5000, val_loss: 0.7034, val_accuracy: 0.4625
2024-12-20 16:00:38,051 [INFO]: Epoch 250/250: loss: 0.6904, accuracy: 0.8458, val_loss: 0.6901, val_accuracy: 0.8750
2024-12-20 16:00:39,133 [INFO]: Training ANN: LR=0.0001, Epochs=250, Optimizer=BGD, Layers=1...
2024-12-20 16:00:39,565 [INFO]: Epoch 1/250: loss: 0.7465, accuracy: 0.5000, val_loss: 0.7705, val_accuracy: 0.4625
2024-12-20 16:00:48,096 [INFO]: Epoch 250/250: loss: 0.7408, accuracy: 0.5000, val_loss: 0.7635, val_accuracy: 0.4625
2024-12-20 16:00:49,161 [INFO]: Training ANN: LR=0.0001, Epochs=250, Optimizer=BGD, Layers=2...
2024-12-20 16:00:49,456 [INFO]: Epoch 1/250: loss: 0.7144, accuracy: 0.5000, val_loss: 0.6999, val_accuracy: 0.5375
2024-12-20 16:00:57,971 [INFO]: Epoch 250/250: loss: 0.7120, accuracy: 0.5000, val_loss: 0.6984, val_accuracy: 0.5375
2024-12-20 16:00:59,027 [INFO]: Training ANN: LR=0.0001, Epochs=250, Optimizer=BGD, Layers=3...
2024-12-20 16:00:59,351 [INFO]: Epoch 1/250: loss: 0.6929, accuracy: 0.5000, val_loss: 0.6985, val_accuracy: 0.4625
2024-12-20 16:01:07,848 [INFO]: Epoch 250/250: loss: 0.6926, accuracy: 0.5000, val_loss: 0.6978, val_accuracy: 0.4625
2024-12-20 16:01:08,943 [INFO]: Training ANN: LR=0.0001, Epochs=250, Optimizer=MBGD, Layers=1...
2024-12-20 16:01:09,256 [INFO]: Epoch 1/250: loss: 0.8096, accuracy: 0.5000, val_loss: 0.7737, val_accuracy: 0.5375
2024-12-20 16:01:19,152 [INFO]: Epoch 250/250: loss: 0.7409, accuracy: 0.5000, val_loss: 0.7172, val_accuracy: 0.5375
2024-12-20 16:01:20,186 [INFO]: Training ANN: LR=0.0001, Epochs=250, Optimizer=MBGD, Layers=2...
2024-12-20 16:01:20,520 [INFO]: Epoch 1/250: loss: 0.8052, accuracy: 0.5000, val_loss: 0.7699, val_accuracy: 0.5375
2024-12-20 16:01:30,451 [INFO]: Epoch 250/250: loss: 0.7441, accuracy: 0.5000, val_loss: 0.7216, val_accuracy: 0.5375
2024-12-20 16:01:31,514 [INFO]: Training ANN: LR=0.0001, Epochs=250, Optimizer=MBGD, Layers=3...
2024-12-20 16:01:31,872 [INFO]: Epoch 1/250: loss: 0.7336, accuracy: 0.5000, val_loss: 0.7119, val_accuracy: 0.5375
2024-12-20 16:01:41,836 [INFO]: Epoch 250/250: loss: 0.7071, accuracy: 0.5000, val_loss: 0.6941, val_accuracy: 0.5375
2024-12-20 16:01:42,900 [INFO]: Training ANN: LR=0.0001, Epochs=500, Optimizer=SGD, Layers=1...
2024-12-20 16:01:43,303 [INFO]: Epoch 1/500: loss: 0.7338, accuracy: 0.5000, val_loss: 0.7184, val_accuracy: 0.5375
2024-12-20 16:03:05,759 [INFO]: Epoch 500/500: loss: 0.5277, accuracy: 0.7958, val_loss: 0.5232, val_accuracy: 0.8000
2024-12-20 16:03:06,797 [INFO]: Training ANN: LR=0.0001, Epochs=500, Optimizer=SGD, Layers=2...
2024-12-20 16:03:07,222 [INFO]: Epoch 1/500: loss: 0.8027, accuracy: 0.5000, val_loss: 0.8319, val_accuracy: 0.4625
2024-12-20 16:04:30,820 [INFO]: Epoch 500/500: loss: 0.6668, accuracy: 0.7750, val_loss: 0.6661, val_accuracy: 0.8000
2024-12-20 16:04:32,049 [INFO]: Training ANN: LR=0.0001, Epochs=500, Optimizer=SGD, Layers=3...
2024-12-20 16:04:32,525 [INFO]: Epoch 1/500: loss: 0.7187, accuracy: 0.5000, val_loss: 0.7337, val_accuracy: 0.4625
2024-12-20 16:05:58,296 [INFO]: Epoch 500/500: loss: 0.6892, accuracy: 0.7833, val_loss: 0.6890, val_accuracy: 0.8000
2024-12-20 16:05:59,376 [INFO]: Training ANN: LR=0.0001, Epochs=500, Optimizer=BGD, Layers=1...
2024-12-20 16:05:59,650 [INFO]: Epoch 1/500: loss: 0.7527, accuracy: 0.5000, val_loss: 0.7801, val_accuracy: 0.4625
2024-12-20 16:06:16,733 [INFO]: Epoch 500/500: loss: 0.7361, accuracy: 0.5000, val_loss: 0.7606, val_accuracy: 0.4625
2024-12-20 16:06:17,788 [INFO]: Training ANN: LR=0.0001, Epochs=500, Optimizer=BGD, Layers=2...
2024-12-20 16:06:18,085 [INFO]: Epoch 1/500: loss: 0.7023, accuracy: 0.5000, val_loss: 0.6924, val_accuracy: 0.5375
2024-12-20 16:06:35,106 [INFO]: Epoch 500/500: loss: 0.7002, accuracy: 0.5000, val_loss: 0.6915, val_accuracy: 0.5375
2024-12-20 16:06:36,154 [INFO]: Training ANN: LR=0.0001, Epochs=500, Optimizer=BGD, Layers=3...
2024-12-20 16:06:36,474 [INFO]: Epoch 1/500: loss: 0.7139, accuracy: 0.5000, val_loss: 0.7286, val_accuracy: 0.4625
2024-12-20 16:06:53,450 [INFO]: Epoch 500/500: loss: 0.7096, accuracy: 0.5000, val_loss: 0.7225, val_accuracy: 0.4625
2024-12-20 16:06:54,534 [INFO]: Training ANN: LR=0.0001, Epochs=500, Optimizer=MBGD, Layers=1...
2024-12-20 16:06:54,844 [INFO]: Epoch 1/500: loss: 0.7261, accuracy: 0.2583, val_loss: 0.7301, val_accuracy: 0.2375
2024-12-20 16:07:14,641 [INFO]: Epoch 500/500: loss: 0.7147, accuracy: 0.2083, val_loss: 0.7163, val_accuracy: 0.2125
2024-12-20 16:07:15,700 [INFO]: Training ANN: LR=0.0001, Epochs=500, Optimizer=MBGD, Layers=2...
2024-12-20 16:07:16,036 [INFO]: Epoch 1/500: loss: 0.7481, accuracy: 0.5000, val_loss: 0.7724, val_accuracy: 0.4625
2024-12-20 16:07:35,848 [INFO]: Epoch 500/500: loss: 0.7045, accuracy: 0.5000, val_loss: 0.7122, val_accuracy: 0.4625
2024-12-20 16:07:36,910 [INFO]: Training ANN: LR=0.0001, Epochs=500, Optimizer=MBGD, Layers=3...
2024-12-20 16:07:37,268 [INFO]: Epoch 1/500: loss: 0.7055, accuracy: 0.5000, val_loss: 0.6944, val_accuracy: 0.5375
2024-12-20 16:07:57,119 [INFO]: Epoch 500/500: loss: 0.6964, accuracy: 0.5000, val_loss: 0.6919, val_accuracy: 0.5375
2024-12-20 16:07:58,176 [INFO]: Training ANN: LR=0.0001, Epochs=1000, Optimizer=SGD, Layers=1...
2024-12-20 16:07:58,769 [INFO]: Epoch 1/1000: loss: 0.7673, accuracy: 0.2292, val_loss: 0.7744, val_accuracy: 0.2375
2024-12-20 16:10:44,827 [INFO]: Epoch 1000/1000: loss: 0.3954, accuracy: 0.8250, val_loss: 0.3964, val_accuracy: 0.8125
2024-12-20 16:10:45,889 [INFO]: Training ANN: LR=0.0001, Epochs=1000, Optimizer=SGD, Layers=2...
2024-12-20 16:10:46,335 [INFO]: Epoch 1/1000: loss: 0.7048, accuracy: 0.5000, val_loss: 0.6941, val_accuracy: 0.5375
2024-12-20 16:13:35,770 [INFO]: Epoch 1000/1000: loss: 0.6082, accuracy: 0.7583, val_loss: 0.6055, val_accuracy: 0.7875
2024-12-20 16:13:36,850 [INFO]: Training ANN: LR=0.0001, Epochs=1000, Optimizer=SGD, Layers=3...
2024-12-20 16:13:37,316 [INFO]: Epoch 1/1000: loss: 0.7055, accuracy: 0.5000, val_loss: 0.7160, val_accuracy: 0.4625
2024-12-20 16:16:28,849 [INFO]: Epoch 1000/1000: loss: 0.6886, accuracy: 0.7417, val_loss: 0.6883, val_accuracy: 0.7750
2024-12-20 16:16:29,951 [INFO]: Training ANN: LR=0.0001, Epochs=1000, Optimizer=BGD, Layers=1...
2024-12-20 16:16:30,226 [INFO]: Epoch 1/1000: loss: 0.7475, accuracy: 0.5000, val_loss: 0.7269, val_accuracy: 0.5375
2024-12-20 16:17:04,230 [INFO]: Epoch 1000/1000: loss: 0.7340, accuracy: 0.5000, val_loss: 0.7174, val_accuracy: 0.5375
2024-12-20 16:17:05,288 [INFO]: Training ANN: LR=0.0001, Epochs=1000, Optimizer=BGD, Layers=2...
2024-12-20 16:17:05,586 [INFO]: Epoch 1/1000: loss: 0.7081, accuracy: 0.5000, val_loss: 0.6964, val_accuracy: 0.5375
2024-12-20 16:17:39,456 [INFO]: Epoch 1000/1000: loss: 0.7031, accuracy: 0.5000, val_loss: 0.6940, val_accuracy: 0.5375
2024-12-20 16:17:40,520 [INFO]: Training ANN: LR=0.0001, Epochs=1000, Optimizer=BGD, Layers=3...
2024-12-20 16:17:40,832 [INFO]: Epoch 1/1000: loss: 0.7223, accuracy: 0.5000, val_loss: 0.7044, val_accuracy: 0.5375
2024-12-20 16:18:14,581 [INFO]: Epoch 1000/1000: loss: 0.7120, accuracy: 0.5000, val_loss: 0.6977, val_accuracy: 0.5375
2024-12-20 16:18:15,645 [INFO]: Training ANN: LR=0.0001, Epochs=1000, Optimizer=MBGD, Layers=1...
2024-12-20 16:18:15,959 [INFO]: Epoch 1/1000: loss: 0.7459, accuracy: 0.5000, val_loss: 0.7688, val_accuracy: 0.4625
2024-12-20 16:18:55,494 [INFO]: Epoch 1000/1000: loss: 0.6760, accuracy: 0.6708, val_loss: 0.6777, val_accuracy: 0.6750
2024-12-20 16:18:56,535 [INFO]: Training ANN: LR=0.0001, Epochs=1000, Optimizer=MBGD, Layers=2...
2024-12-20 16:18:56,871 [INFO]: Epoch 1/1000: loss: 0.7079, accuracy: 0.2167, val_loss: 0.7076, val_accuracy: 0.2000
2024-12-20 16:19:36,461 [INFO]: Epoch 1000/1000: loss: 0.7051, accuracy: 0.2042, val_loss: 0.7051, val_accuracy: 0.2125
2024-12-20 16:19:37,506 [INFO]: Training ANN: LR=0.0001, Epochs=1000, Optimizer=MBGD, Layers=3...
2024-12-20 16:19:37,869 [INFO]: Epoch 1/1000: loss: 0.7792, accuracy: 0.5000, val_loss: 0.8105, val_accuracy: 0.4625
2024-12-20 16:20:17,583 [INFO]: Epoch 1000/1000: loss: 0.6942, accuracy: 0.5000, val_loss: 0.6977, val_accuracy: 0.4625
2024-12-20 16:20:18,875 [INFO]: Training ANN: LR=0.001, Epochs=50, Optimizer=SGD, Layers=1...
2024-12-20 16:20:19,294 [INFO]: Epoch 1/50: loss: 0.8178, accuracy: 0.5000, val_loss: 0.7345, val_accuracy: 0.5375
2024-12-20 16:20:27,466 [INFO]: Epoch 50/50: loss: 0.5110, accuracy: 0.8292, val_loss: 0.5046, val_accuracy: 0.8375
2024-12-20 16:20:28,521 [INFO]: Training ANN: LR=0.001, Epochs=50, Optimizer=SGD, Layers=2...
2024-12-20 16:20:28,966 [INFO]: Epoch 1/50: loss: 0.6911, accuracy: 0.5000, val_loss: 0.6841, val_accuracy: 0.5375
2024-12-20 16:20:37,273 [INFO]: Epoch 50/50: loss: 0.6524, accuracy: 0.7875, val_loss: 0.6489, val_accuracy: 0.8250
2024-12-20 16:20:38,351 [INFO]: Training ANN: LR=0.001, Epochs=50, Optimizer=SGD, Layers=3...
2024-12-20 16:20:38,805 [INFO]: Epoch 1/50: loss: 0.7126, accuracy: 0.5000, val_loss: 0.6917, val_accuracy: 0.5375
2024-12-20 16:20:47,201 [INFO]: Epoch 50/50: loss: 0.6914, accuracy: 0.5458, val_loss: 0.6892, val_accuracy: 0.5375
2024-12-20 16:20:48,279 [INFO]: Training ANN: LR=0.001, Epochs=50, Optimizer=BGD, Layers=1...
2024-12-20 16:20:48,552 [INFO]: Epoch 1/50: loss: 0.7075, accuracy: 0.2167, val_loss: 0.7087, val_accuracy: 0.2250
2024-12-20 16:20:50,230 [INFO]: Epoch 50/50: loss: 0.7062, accuracy: 0.2083, val_loss: 0.7072, val_accuracy: 0.2250
2024-12-20 16:20:51,277 [INFO]: Training ANN: LR=0.001, Epochs=50, Optimizer=BGD, Layers=2...
2024-12-20 16:20:51,569 [INFO]: Epoch 1/50: loss: 0.8648, accuracy: 0.5000, val_loss: 0.8188, val_accuracy: 0.5375
2024-12-20 16:20:53,230 [INFO]: Epoch 50/50: loss: 0.8321, accuracy: 0.5000, val_loss: 0.7910, val_accuracy: 0.5375
2024-12-20 16:20:54,297 [INFO]: Training ANN: LR=0.001, Epochs=50, Optimizer=BGD, Layers=3...
2024-12-20 16:20:54,614 [INFO]: Epoch 1/50: loss: 0.7162, accuracy: 0.5000, val_loss: 0.7000, val_accuracy: 0.5375
2024-12-20 16:20:56,276 [INFO]: Epoch 50/50: loss: 0.7107, accuracy: 0.5000, val_loss: 0.6965, val_accuracy: 0.5375
2024-12-20 16:20:57,351 [INFO]: Training ANN: LR=0.001, Epochs=50, Optimizer=MBGD, Layers=1...
2024-12-20 16:20:57,662 [INFO]: Epoch 1/50: loss: 0.6263, accuracy: 0.7875, val_loss: 0.6199, val_accuracy: 0.7875
2024-12-20 16:20:59,603 [INFO]: Epoch 50/50: loss: 0.6170, accuracy: 0.8542, val_loss: 0.6133, val_accuracy: 0.8375
2024-12-20 16:21:00,649 [INFO]: Training ANN: LR=0.001, Epochs=50, Optimizer=MBGD, Layers=2...
2024-12-20 16:21:00,985 [INFO]: Epoch 1/50: loss: 0.7496, accuracy: 0.5000, val_loss: 0.7737, val_accuracy: 0.4625
2024-12-20 16:21:02,930 [INFO]: Epoch 50/50: loss: 0.6967, accuracy: 0.5000, val_loss: 0.7049, val_accuracy: 0.4625
2024-12-20 16:21:03,991 [INFO]: Training ANN: LR=0.001, Epochs=50, Optimizer=MBGD, Layers=3...
2024-12-20 16:21:04,346 [INFO]: Epoch 1/50: loss: 0.6958, accuracy: 0.5000, val_loss: 0.6913, val_accuracy: 0.5375
2024-12-20 16:21:06,305 [INFO]: Epoch 50/50: loss: 0.6942, accuracy: 0.5000, val_loss: 0.6925, val_accuracy: 0.5375
2024-12-20 16:21:07,596 [INFO]: Training ANN: LR=0.001, Epochs=250, Optimizer=SGD, Layers=1...
2024-12-20 16:21:08,020 [INFO]: Epoch 1/250: loss: 0.7510, accuracy: 0.5000, val_loss: 0.7093, val_accuracy: 0.5375
2024-12-20 16:21:49,425 [INFO]: Epoch 250/250: loss: 0.3032, accuracy: 0.8458, val_loss: 0.3290, val_accuracy: 0.8375
2024-12-20 16:21:50,485 [INFO]: Training ANN: LR=0.001, Epochs=250, Optimizer=SGD, Layers=2...
2024-12-20 16:21:50,921 [INFO]: Epoch 1/250: loss: 0.7090, accuracy: 0.5000, val_loss: 0.7103, val_accuracy: 0.4625
2024-12-20 16:22:33,031 [INFO]: Epoch 250/250: loss: 0.3510, accuracy: 0.8333, val_loss: 0.3582, val_accuracy: 0.8250
2024-12-20 16:22:34,127 [INFO]: Training ANN: LR=0.001, Epochs=250, Optimizer=SGD, Layers=3...
2024-12-20 16:22:34,588 [INFO]: Epoch 1/250: loss: 0.7224, accuracy: 0.5000, val_loss: 0.6936, val_accuracy: 0.5375
2024-12-20 16:23:17,225 [INFO]: Epoch 250/250: loss: 0.6572, accuracy: 0.7917, val_loss: 0.6548, val_accuracy: 0.7875
2024-12-20 16:23:18,302 [INFO]: Training ANN: LR=0.001, Epochs=250, Optimizer=BGD, Layers=1...
2024-12-20 16:23:18,575 [INFO]: Epoch 1/250: loss: 0.7166, accuracy: 0.5000, val_loss: 0.7371, val_accuracy: 0.4625
2024-12-20 16:23:27,049 [INFO]: Epoch 250/250: loss: 0.6695, accuracy: 0.5000, val_loss: 0.6802, val_accuracy: 0.4625
2024-12-20 16:23:28,103 [INFO]: Training ANN: LR=0.001, Epochs=250, Optimizer=BGD, Layers=2...
2024-12-20 16:23:28,398 [INFO]: Epoch 1/250: loss: 0.8718, accuracy: 0.5000, val_loss: 0.9166, val_accuracy: 0.4625
2024-12-20 16:23:36,861 [INFO]: Epoch 250/250: loss: 0.7551, accuracy: 0.5000, val_loss: 0.7797, val_accuracy: 0.4625
2024-12-20 16:23:37,914 [INFO]: Training ANN: LR=0.001, Epochs=250, Optimizer=BGD, Layers=3...
2024-12-20 16:23:38,241 [INFO]: Epoch 1/250: loss: 0.8613, accuracy: 0.5000, val_loss: 0.9050, val_accuracy: 0.4625
2024-12-20 16:23:46,662 [INFO]: Epoch 250/250: loss: 0.7448, accuracy: 0.5000, val_loss: 0.7683, val_accuracy: 0.4625
2024-12-20 16:23:47,731 [INFO]: Training ANN: LR=0.001, Epochs=250, Optimizer=MBGD, Layers=1...
2024-12-20 16:23:48,042 [INFO]: Epoch 1/250: loss: 0.9463, accuracy: 0.5000, val_loss: 0.8878, val_accuracy: 0.5375
2024-12-20 16:23:57,895 [INFO]: Epoch 250/250: loss: 0.6868, accuracy: 0.6625, val_loss: 0.6862, val_accuracy: 0.6500
2024-12-20 16:23:58,941 [INFO]: Training ANN: LR=0.001, Epochs=250, Optimizer=MBGD, Layers=2...
2024-12-20 16:23:59,271 [INFO]: Epoch 1/250: loss: 0.6907, accuracy: 0.5000, val_loss: 0.6931, val_accuracy: 0.4625
2024-12-20 16:24:09,147 [INFO]: Epoch 250/250: loss: 0.6870, accuracy: 0.6625, val_loss: 0.6867, val_accuracy: 0.6625
2024-12-20 16:24:10,216 [INFO]: Training ANN: LR=0.001, Epochs=250, Optimizer=MBGD, Layers=3...
2024-12-20 16:24:10,578 [INFO]: Epoch 1/250: loss: 0.7207, accuracy: 0.5000, val_loss: 0.7379, val_accuracy: 0.4625
2024-12-20 16:24:20,487 [INFO]: Epoch 250/250: loss: 0.6909, accuracy: 0.8167, val_loss: 0.6909, val_accuracy: 0.8000
2024-12-20 16:24:21,560 [INFO]: Training ANN: LR=0.001, Epochs=500, Optimizer=SGD, Layers=1...
2024-12-20 16:24:22,224 [INFO]: Epoch 1/500: loss: 0.6838, accuracy: 0.5458, val_loss: 0.6755, val_accuracy: 0.6250
2024-12-20 16:25:45,478 [INFO]: Epoch 500/500: loss: 0.2751, accuracy: 0.8583, val_loss: 0.3277, val_accuracy: 0.8375
2024-12-20 16:25:46,541 [INFO]: Training ANN: LR=0.001, Epochs=500, Optimizer=SGD, Layers=2...
2024-12-20 16:25:46,990 [INFO]: Epoch 1/500: loss: 0.6959, accuracy: 0.5000, val_loss: 0.6977, val_accuracy: 0.4625
2024-12-20 16:27:11,411 [INFO]: Epoch 500/500: loss: 0.2780, accuracy: 0.8500, val_loss: 0.3289, val_accuracy: 0.8375
2024-12-20 16:27:12,494 [INFO]: Training ANN: LR=0.001, Epochs=500, Optimizer=SGD, Layers=3...
2024-12-20 16:27:12,958 [INFO]: Epoch 1/500: loss: 0.6997, accuracy: 0.5000, val_loss: 0.6909, val_accuracy: 0.5375
2024-12-20 16:28:38,363 [INFO]: Epoch 500/500: loss: 0.3778, accuracy: 0.8125, val_loss: 0.3782, val_accuracy: 0.8125
2024-12-20 16:28:39,467 [INFO]: Training ANN: LR=0.001, Epochs=500, Optimizer=BGD, Layers=1...
2024-12-20 16:28:39,741 [INFO]: Epoch 1/500: loss: 0.7101, accuracy: 0.5000, val_loss: 0.7237, val_accuracy: 0.4625
2024-12-20 16:28:56,741 [INFO]: Epoch 500/500: loss: 0.6847, accuracy: 0.5000, val_loss: 0.6886, val_accuracy: 0.4625
2024-12-20 16:28:57,804 [INFO]: Training ANN: LR=0.001, Epochs=500, Optimizer=BGD, Layers=2...
2024-12-20 16:28:58,096 [INFO]: Epoch 1/500: loss: 0.7081, accuracy: 0.5000, val_loss: 0.6921, val_accuracy: 0.5375
2024-12-20 16:29:15,062 [INFO]: Epoch 500/500: loss: 0.6867, accuracy: 0.5000, val_loss: 0.6824, val_accuracy: 0.5375
2024-12-20 16:29:16,112 [INFO]: Training ANN: LR=0.001, Epochs=500, Optimizer=BGD, Layers=3...
2024-12-20 16:29:16,432 [INFO]: Epoch 1/500: loss: 0.7991, accuracy: 0.5000, val_loss: 0.7638, val_accuracy: 0.5375
2024-12-20 16:29:33,331 [INFO]: Epoch 500/500: loss: 0.7064, accuracy: 0.5000, val_loss: 0.6952, val_accuracy: 0.5375
2024-12-20 16:29:34,415 [INFO]: Training ANN: LR=0.001, Epochs=500, Optimizer=MBGD, Layers=1...
2024-12-20 16:29:34,732 [INFO]: Epoch 1/500: loss: 0.7049, accuracy: 0.5000, val_loss: 0.6948, val_accuracy: 0.5375
2024-12-20 16:29:54,473 [INFO]: Epoch 500/500: loss: 0.6293, accuracy: 0.7458, val_loss: 0.6263, val_accuracy: 0.7625
2024-12-20 16:29:55,520 [INFO]: Training ANN: LR=0.001, Epochs=500, Optimizer=MBGD, Layers=2...
2024-12-20 16:29:55,858 [INFO]: Epoch 1/500: loss: 0.7962, accuracy: 0.5000, val_loss: 0.8287, val_accuracy: 0.4625
2024-12-20 16:30:15,682 [INFO]: Epoch 500/500: loss: 0.6679, accuracy: 0.7917, val_loss: 0.6668, val_accuracy: 0.8125
2024-12-20 16:30:16,757 [INFO]: Training ANN: LR=0.001, Epochs=500, Optimizer=MBGD, Layers=3...
2024-12-20 16:30:17,114 [INFO]: Epoch 1/500: loss: 0.7540, accuracy: 0.5000, val_loss: 0.7785, val_accuracy: 0.4625
2024-12-20 16:30:36,963 [INFO]: Epoch 500/500: loss: 0.6908, accuracy: 0.7000, val_loss: 0.6906, val_accuracy: 0.7250
2024-12-20 16:30:38,046 [INFO]: Training ANN: LR=0.001, Epochs=1000, Optimizer=SGD, Layers=1...
2024-12-20 16:30:38,448 [INFO]: Epoch 1/1000: loss: 0.7420, accuracy: 0.5000, val_loss: 0.7208, val_accuracy: 0.4625
2024-12-20 16:33:22,717 [INFO]: Epoch 1000/1000: loss: 0.2721, accuracy: 0.8583, val_loss: 0.3366, val_accuracy: 0.8250
2024-12-20 16:33:23,752 [INFO]: Training ANN: LR=0.001, Epochs=1000, Optimizer=SGD, Layers=2...
2024-12-20 16:33:24,180 [INFO]: Epoch 1/1000: loss: 0.6876, accuracy: 0.5875, val_loss: 0.6832, val_accuracy: 0.5500
2024-12-20 16:36:10,949 [INFO]: Epoch 1000/1000: loss: 0.2745, accuracy: 0.8542, val_loss: 0.3394, val_accuracy: 0.8250
2024-12-20 16:36:12,273 [INFO]: Training ANN: LR=0.001, Epochs=1000, Optimizer=SGD, Layers=3...
2024-12-20 16:36:12,758 [INFO]: Epoch 1/1000: loss: 1.0979, accuracy: 0.5000, val_loss: 1.0037, val_accuracy: 0.4625
