Model    Param1       Param2   Param3   Param4         T_Acc      T_Prec     T_Recall   T_F1       V_Acc      V_Prec     V_Recall   V_F1      
ANN      0.01         1000     3        BGD            0.71       1.00       0.42       0.59       0.70       1.00       0.44       0.61      
ANN      0.01         1000     1        MBGD           0.88       0.88       0.88       0.88       0.86       0.86       0.88       0.87      
ANN      0.01         1000     2        MBGD           0.86       0.86       0.86       0.86       0.85       0.86       0.86       0.86      
ANN      0.01         1000     3        MBGD           0.80       0.80       0.81       0.80       0.79       0.81       0.79       0.80      
ANN      0.1          50       1        SGD            0.90       0.90       0.89       0.90       0.88       0.87       0.91       0.89      
ANN      0.1          50       2        SGD            0.90       0.90       0.89       0.90       0.86       0.86       0.88       0.87      
ANN      0.1          50       3        SGD            0.88       0.84       0.93       0.88       0.89       0.87       0.93       0.90      
ANN      0.1          50       1        BGD            0.77       0.77       0.77       0.77       0.76       0.79       0.77       0.78      
ANN      0.1          50       2        BGD            0.84       0.81       0.89       0.85       0.82       0.81       0.88       0.84      
ANN      0.1          50       3        BGD            0.84       0.82       0.86       0.84       0.85       0.86       0.86       0.86      
ANN      0.1          50       1        MBGD           0.85       0.84       0.87       0.85       0.85       0.86       0.86       0.86      
ANN      0.1          50       2        MBGD           0.82       0.77       0.93       0.84       0.82       0.78       0.93       0.85      
ANN      0.1          50       3        MBGD           0.76       0.67       1.00       0.81       0.76       0.69       1.00       0.82      
ANN      0.1          250      1        SGD            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
ANN      0.1          250      2        SGD            0.93       0.95       0.92       0.93       0.90       0.89       0.93       0.91      
ANN      0.1          250      3        SGD            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
ANN      0.1          250      1        BGD            0.82       0.82       0.82       0.82       0.84       0.86       0.84       0.85      
ANN      0.1          250      2        BGD            0.81       0.80       0.82       0.81       0.81       0.83       0.81       0.82      
ANN      0.1          250      3        BGD            0.85       0.83       0.88       0.85       0.84       0.84       0.86       0.85      
ANN      0.1          250      1        MBGD           0.90       0.90       0.89       0.90       0.86       0.86       0.88       0.87      
ANN      0.1          250      2        MBGD           0.89       0.89       0.89       0.89       0.88       0.87       0.91       0.89      
ANN      0.1          250      3        MBGD           0.89       0.88       0.89       0.89       0.88       0.87       0.91       0.89      
ANN      0.1          500      1        SGD            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
ANN      0.1          500      2        SGD            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
ANN      0.1          500      3        SGD            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
ANN      0.1          500      1        BGD            0.85       0.85       0.85       0.85       0.85       0.86       0.86       0.86      
ANN      0.1          500      2        BGD            0.82       0.81       0.82       0.82       0.80       0.83       0.79       0.81      
ANN      0.1          500      3        BGD            0.82       0.82       0.82       0.82       0.81       0.83       0.81       0.82      
ANN      0.1          500      1        MBGD           0.90       0.90       0.89       0.90       0.88       0.87       0.91       0.89      
ANN      0.1          500      2        MBGD           0.90       0.90       0.89       0.90       0.88       0.87       0.91       0.89      
ANN      0.1          500      3        MBGD           0.90       0.90       0.89       0.90       0.88       0.87       0.91       0.89      
ANN      0.1          1000     1        SGD            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
ANN      0.1          1000     2        SGD            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
ANN      0.1          1000     3        SGD            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
ANN      0.1          1000     1        BGD            0.89       0.89       0.88       0.89       0.86       0.86       0.88       0.87      
ANN      0.1          1000     2        BGD            0.88       0.88       0.88       0.88       0.85       0.86       0.86       0.86      
ANN      0.1          1000     3        BGD            0.81       0.80       0.82       0.81       0.79       0.81       0.79       0.80      
ANN      0.1          1000     1        MBGD           0.90       0.90       0.89       0.90       0.88       0.87       0.91       0.89      
ANN      0.1          1000     2        MBGD           0.90       0.91       0.89       0.90       0.88       0.87       0.91       0.89      
ANN      0.1          1000     3        MBGD           0.88       0.87       0.90       0.89       0.88       0.87       0.91       0.89      
SVM      linear       0.01     3        scale          0.82       0.82       0.82       0.82       0.82       0.85       0.81       0.83      
SVM      linear       0.1      3        scale          0.88       0.88       0.87       0.87       0.85       0.86       0.86       0.86      
SVM      linear       1        3        scale          0.89       0.90       0.88       0.89       0.86       0.86       0.88       0.87      
SVM      linear       10       3        scale          0.89       0.90       0.88       0.89       0.86       0.86       0.88       0.87      
SVM      linear       100      3        scale          0.89       0.90       0.88       0.89       0.86       0.86       0.88       0.87      
SVM      poly         0.01     2        scale          0.73       1.00       0.47       0.64       0.75       1.00       0.53       0.70      
SVM      poly         0.01     2        auto           0.72       1.00       0.43       0.60       0.72       1.00       0.49       0.66      
SVM      poly         0.01     3        scale          0.77       1.00       0.54       0.70       0.75       1.00       0.53       0.70      
SVM      poly         0.01     3        auto           0.70       1.00       0.41       0.58       0.70       1.00       0.44       0.61      
SVM      poly         0.01     4        scale          0.72       1.00       0.45       0.62       0.74       1.00       0.51       0.68      
SVM      poly         0.01     4        auto           0.65       1.00       0.31       0.47       0.66       1.00       0.37       0.54      
SVM      poly         0.1      2        scale          0.72       0.70       0.78       0.74       0.71       0.72       0.77       0.74      
SVM      poly         0.1      2        auto           0.72       0.83       0.54       0.66       0.70       0.85       0.53       0.66      
SVM      poly         0.1      3        scale          0.94       0.92       0.96       0.94       0.91       0.88       0.98       0.92      
SVM      poly         0.1      3        auto           0.79       1.00       0.57       0.73       0.76       1.00       0.56       0.72      
SVM      poly         0.1      4        scale          0.72       0.86       0.53       0.65       0.74       0.96       0.53       0.69      
SVM      poly         0.1      4        auto           0.72       1.00       0.44       0.61       0.74       1.00       0.51       0.68      
SVM      poly         1        2        scale          0.78       0.70       0.97       0.82       0.82       0.76       0.98       0.86      
SVM      poly         1        2        auto           0.78       0.70       0.99       0.82       0.82       0.75       1.00       0.86      
SVM      poly         1        3        scale          0.94       0.90       1.00       0.94       0.93       0.88       1.00       0.93      
SVM      poly         1        3        auto           0.95       0.90       1.00       0.95       0.93       0.88       1.00       0.93      
SVM      poly         1        4        scale          0.82       0.74       1.00       0.85       0.85       0.78       1.00       0.88      
SVM      poly         1        4        auto           0.75       1.00       0.51       0.67       0.75       1.00       0.53       0.70      
SVM      poly         10       2        scale          0.80       0.72       0.96       0.82       0.80       0.75       0.93       0.83      
SVM      poly         10       2        auto           0.80       0.72       0.97       0.83       0.81       0.76       0.95       0.85      
SVM      poly         10       3        scale          0.95       0.90       1.00       0.95       0.93       0.88       1.00       0.93      
SVM      poly         10       3        auto           0.94       0.90       1.00       0.94       0.93       0.88       1.00       0.93      
SVM      poly         10       4        scale          0.82       0.73       1.00       0.85       0.84       0.77       1.00       0.87      
SVM      poly         10       4        auto           0.82       0.73       1.00       0.85       0.85       0.78       1.00       0.88      
SVM      rbf          0.01     3        scale          0.88       0.88       0.88       0.88       0.85       0.86       0.86       0.86      
SVM      rbf          0.01     3        auto           0.84       0.83       0.84       0.84       0.84       0.86       0.84       0.85      
SVM      rbf          0.01     3        0.01           0.80       0.80       0.81       0.80       0.79       0.81       0.79       0.80      
SVM      rbf          0.01     3        0.1            0.81       0.80       0.82       0.81       0.80       0.83       0.79       0.81      
SVM      rbf          0.01     3        1              0.88       0.88       0.88       0.88       0.85       0.86       0.86       0.86      
SVM      rbf          0.1      3        scale          0.97       0.97       0.97       0.97       0.95       0.93       0.98       0.95      
SVM      rbf          0.1      3        auto           0.91       0.92       0.90       0.91       0.89       0.89       0.91       0.90      
SVM      rbf          0.1      3        0.01           0.80       0.80       0.81       0.80       0.79       0.81       0.79       0.80      
SVM      rbf          0.1      3        0.1            0.83       0.83       0.84       0.83       0.84       0.86       0.84       0.85      
SVM      rbf          0.1      3        1              0.97       0.97       0.97       0.97       0.95       0.93       0.98       0.95      
SVM      rbf          1        3        scale          1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
SVM      rbf          1        3        auto           1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
SVM      rbf          1        3        0.01           0.84       0.83       0.84       0.84       0.84       0.86       0.84       0.85      
SVM      rbf          1        3        0.1            0.88       0.88       0.88       0.88       0.86       0.86       0.88       0.87      
SVM      rbf          1        3        1              1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
SVM      rbf          10       3        scale          1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
SVM      rbf          10       3        auto           1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
SVM      rbf          10       3        0.01           0.88       0.88       0.88       0.88       0.85       0.86       0.86       0.86      
SVM      rbf          10       3        0.1            0.94       0.95       0.93       0.94       0.90       0.89       0.93       0.91      
SVM      rbf          10       3        1              1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
SVM      rbf          100      3        scale          1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
SVM      rbf          100      3        auto           1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
SVM      rbf          100      3        0.01           0.90       0.90       0.89       0.90       0.86       0.86       0.88       0.87      
SVM      rbf          100      3        0.1            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
SVM      rbf          100      3        1              1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
